Combination;Start_X;Start_Y;Objective_X;Objective_Y;Step;Planner_Type;Distance_Threshold;Escalado_Vectores;Flight_Level;Execution_Time;Trajectory_Points;Error_Code;Error_Message
1;95;5;65;95;0.5;2;10;4;70;0.042;225;0;Success
2;55;15;85;85;0.5;2;10;5;150;0.048;214;0;Success
3;15;15;65;35;0.5;1;10;4;150;0.047;125;0;Success
4;55;25;65;35;0.5;1;4;6;230;0.052;28;0;Success
5;35;35;55;75;0.5;1;4;5;70;0.048;96;0;Success
6;5;25;85;25;0.5;0;4;6;150;0.041;191;0;Success
7;15;55;75;45;0.5;2;7;5;70;0.042;142;0;Success
8;75;35;55;35;0.5;1;4;5;150;0;0;1;Initial point is inside an obstacle
9;45;85;75;45;0.5;2;4;6;230;0.041;109;0;Success
10;95;85;15;85;0.5;1;10;5;230;0.044;178;0;Success
11;65;35;15;35;0.5;1;7;6;150;0.043;108;0;Success
12;5;25;45;75;0.5;1;4;5;70;0;0;2;Objectve point is inside an obstacle
13;65;25;5;15;0.5;1;4;6;230;0.04;144;0;Success
14;25;25;15;45;0.5;0;10;4;150;0.044;48;0;Success
15;25;65;85;15;0.5;0;10;5;230;0.046;163;0;Success
16;15;25;15;15;0.5;1;7;6;150;0.043;21;0;Success
17;35;75;85;25;0.5;1;4;5;70;0.046;157;0;Success
18;85;65;5;45;0.5;2;7;6;150;0;0;1;Initial point is inside an obstacle
19;35;55;85;65;0.5;0;7;6;150;0;0;2;Objectve point is inside an obstacle
20;45;15;85;5;0.5;1;4;6;150;0.045;88;0;Success
21;65;25;25;15;0.5;1;4;4;230;0.047;94;0;Success
22;55;75;35;15;0.5;1;7;5;150;0.046;136;0;Success
23;45;65;25;15;0.5;0;10;6;150;0.052;121;0;Success
24;75;35;85;85;0.5;0;7;6;150;0;0;1;Initial point is inside an obstacle
25;25;95;75;25;0.5;1;10;5;230;0.047;190;0;Success
26;75;15;75;55;0.5;1;4;6;150;0.04;87;0;Success
27;85;65;15;45;0.5;2;10;6;150;0;0;1;Initial point is inside an obstacle
28;75;75;25;65;0.5;0;7;5;70;0.045;114;0;Success
29;75;75;95;25;0.5;0;7;6;230;0.04;126;0;Success
30;45;25;45;75;0.5;2;4;6;150;0;0;1;Initial point is inside an obstacle
31;35;75;35;55;0.5;0;7;6;70;0.044;58;0;Success
32;65;55;5;65;0.5;1;10;4;70;0.045;134;0;Success
33;35;95;75;95;0.5;2;7;4;150;0.044;88;0;Success
34;95;35;35;5;0.5;2;7;4;70;0.043;142;0;Success
35;45;95;65;95;0.5;0;4;5;230;0.049;42;0;Success
36;85;35;35;45;0.5;2;10;4;150;0.048;139;0;Success
37;25;25;15;65;0.5;1;7;6;230;0;0;2;Objectve point is inside an obstacle
38;75;45;55;25;0.5;0;10;6;70;0.049;71;0;Success
39;75;75;65;65;0.5;1;10;4;150;0.049;37;0;Success
40;65;65;25;75;0.5;1;10;5;150;0.049;90;0;Success
41;25;25;45;55;0.5;2;10;4;70;0.05;80;0;Success
42;45;85;85;75;0.5;1;7;4;150;0.048;107;0;Success
43;85;45;45;65;0.5;2;7;6;150;0.047;95;0;Success
44;55;85;15;25;0.5;0;7;6;230;0.05;162;0;Success
45;65;55;45;15;0.5;0;7;5;70;0.044;94;0;Success
46;75;75;15;5;0.5;0;10;5;230;0.043;213;0;Success
47;15;75;15;25;0.5;0;4;5;70;0.048;113;0;Success
48;65;85;15;45;0.5;0;7;4;230;0.045;161;0;Success
49;65;85;95;75;0.5;2;7;4;150;0.042;73;0;Success
50;85;95;25;25;0.5;2;10;6;150;0.046;202;0;Success
