Combination;Start_X;Start_Y;Start_Z;Objective_X;Objective_Y;Objective_Z;Step;Planner_Type;Distance_Threshold;Escalado_Vectores;Flight_Level;Execution_Time;Trajectory_Points;Error_Code;Error_Message
1;5;195;47.22;110.56;110.56;26.11;0.5;2;7;10;110;2.084;0;4;
2;110.56;110.56;152.78;68.33;68.33;152.78;0.5;0;7;7;70;84.431;125;0;Success - No collisions detected
3;152.78;195;47.22;152.78;173.89;152.78;0.5;2;10;10;110;0;0;1;Start point is inside an obstacle
4;68.33;152.78;195;110.56;173.89;26.11;0.5;0;10;4;150;126.613998;438;0;Success - No collisions detected
5;89.44;152.78;47.22;5;47.22;110.56;0.5;2;4;7;110;1.926;0;4;
6;5;68.33;47.22;89.44;5;131.67;0.5;2;7;7;150;0;0;1;Start point is inside an obstacle
7;5;152.78;195;131.67;152.78;110.56;0.5;0;4;7;110;69.278;334;0;Success - No collisions detected
8;131.67;47.22;152.78;47.22;110.56;173.89;0.5;2;4;7;110;0;0;1;Start point is inside an obstacle
9;131.67;47.22;195;152.78;89.44;195;0.5;2;7;7;110;2.011;101;0;Success - No collisions detected
10;26.11;173.89;26.11;5;5;173.89;0.5;0;4;10;70;62.707001;497;0;Success - No collisions detected
11;173.89;68.33;89.44;152.78;26.11;131.67;0.5;0;10;4;150;129.304001;144;0;Success - No collisions detected
12;47.22;26.11;152.78;173.89;195;131.67;0.5;2;10;10;150;0;0;1;Start point is inside an obstacle
13;47.22;89.44;47.22;131.67;152.78;152.78;0.5;0;4;10;110;65.478996;322;0;Success - No collisions detected
14;173.89;68.33;68.33;47.22;152.78;26.11;0.5;2;7;4;150;1.874;0;4;
15;131.67;68.33;173.89;89.44;152.78;173.89;0.5;0;10;7;70;120.083;218;0;Success - No collisions detected
16;47.22;5;47.22;68.33;152.78;89.44;0.5;0;4;4;70;67.237999;365;0;Success - No collisions detected
17;195;195;173.89;5;5;110.56;0.5;2;4;10;110;1.891;0;4;
18;89.44;47.22;152.78;173.89;47.22;195;0.5;2;4;4;150;0;0;1;Start point is inside an obstacle
19;195;131.67;26.11;173.89;152.78;195;0.5;2;7;7;70;1.921;74;5;Trajectory intersects with obstacles
20;5;131.67;47.22;47.22;131.67;152.78;0.5;2;7;7;110;1.881;88;0;Success - No collisions detected
21;5;152.78;152.78;131.67;110.56;47.22;0.5;2;10;4;110;1.885;0;4;
22;26.11;89.44;152.78;89.44;195;152.78;0.5;0;10;10;110;120.553001;298;0;Success - No collisions detected
23;173.89;131.67;152.78;131.67;89.44;152.78;0.5;0;4;4;150;65.482002;120;0;Success - No collisions detected
24;173.89;47.22;47.22;110.56;110.56;131.67;0.5;0;4;7;110;66.815002;267;0;Success - No collisions detected
25;68.33;26.11;26.11;89.44;26.11;89.44;0.5;2;7;10;110;1.906;42;0;Success - No collisions detected
26;89.44;152.78;195;89.44;47.22;47.22;0.5;2;4;10;150;1.911;223;5;Trajectory intersects with obstacles
27;5;131.67;89.44;68.33;110.56;195;0.5;2;4;7;150;1.858;143;0;Success - No collisions detected
28;89.44;26.11;26.11;152.78;47.22;26.11;0.5;0;10;7;70;0;0;2;Objectve point is inside an obstacle
29;89.44;195;89.44;110.56;5;26.11;0.5;2;4;10;150;1.921;0;4;
30;195;195;89.44;68.33;89.44;26.11;0.5;2;4;7;150;1.886;0;4;
31;152.78;5;152.78;110.56;26.11;152.78;0.5;0;10;10;150;0;0;2;Objectve point is inside an obstacle
32;173.89;110.56;68.33;5;89.44;131.67;0.5;0;10;10;150;0;0;1;Start point is inside an obstacle
33;195;5;173.89;89.44;110.56;68.33;0.5;0;4;10;110;0;0;2;Objectve point is inside an obstacle
34;195;89.44;195;5;131.67;131.67;0.5;2;10;7;150;1.896;0;4;
35;5;5;5;89.44;173.89;47.22;0.5;0;10;4;150;0;0;2;Objectve point is inside an obstacle
36;5;110.56;195;131.67;26.11;110.56;0.5;0;7;10;110;85.421997;381;0;Success - No collisions detected
37;68.33;131.67;152.78;47.22;5;152.78;0.5;0;7;7;150;83.300003;339;0;Success - No collisions detected
38;47.22;173.89;68.33;195;110.56;5;0.5;2;10;7;150;0;0;1;Start point is inside an obstacle
39;110.56;89.44;89.44;110.56;68.33;131.67;0.5;2;4;10;110;0;0;2;Objectve point is inside an obstacle
40;26.11;47.22;5;131.67;5;68.33;0.5;2;10;10;110;1.944;250;0;Success - No collisions detected
41;173.89;131.67;195;26.11;131.67;131.67;0.5;2;7;4;70;1.892;0;4;
42;110.56;5;110.56;131.67;68.33;152.78;0.5;2;7;7;150;1.912;0;4;
43;152.78;152.78;5;152.78;110.56;173.89;0.5;0;10;10;70;123.964996;447;0;Success - No collisions detected
44;68.33;89.44;5;26.11;173.89;68.33;0.5;0;7;4;70;90.806;272;0;Success - No collisions detected
45;152.78;152.78;152.78;26.11;5;110.56;0.5;2;7;10;150;2.084;0;4;
46;195;68.33;89.44;110.56;110.56;131.67;0.5;0;4;10;150;75.945;236;0;Success - No collisions detected
47;68.33;110.56;5;5;89.44;68.33;0.5;0;4;10;150;61.411999;192;0;Success - No collisions detected
48;131.67;195;26.11;26.11;47.22;110.56;0.5;2;7;4;110;1.948;0;4;
49;131.67;173.89;152.78;131.67;110.56;89.44;0.5;0;10;7;150;122.352997;204;0;Success - No collisions detected
50;47.22;110.56;89.44;26.11;5;47.22;0.5;2;7;10;70;1.927;0;4;
